ProjectName,RegionName,NodeType,NodeName,NodeIP,NodePort,Username,Password,Proxy
ProjectName1,RegionName1,Backend,Backend,10.44.208.82,22,ossuser,Changeme_123,hk
ProjectName1,RegionName1,Master,Master1,192.168.0.1,22,ossuser,Changeme_123,hk
ProjectName1,RegionName1,Master,Master2,192.168.0.2,22,ossuser,Changeme_123,hk
ProjectName1,RegionName1,DB,DB01,192.168.0.3,22,ossuser,Changeme_123,hk
ProjectName1,RegionName1,DB,DB02,192.168.0.4,22,ossuser,Changeme_123,hk
ProjectName1,RegionName1,Disb,Disb1,192.168.0.5,22,ossuser,Changeme_123,hk
ProjectName1,RegionName1,Disb,Disb2,192.168.0.6,22,ossuser,Changeme_123,hk
ProjectName1,RegionName1,Disb,Disb3,192.168.0.7,22,ossuser,Changeme_123,hk
ProjectName1,RegionName1,Disb,Disb4,192.168.0.8,22,ossuser,Changeme_123,hk
ProjectName1,RegionName1,Disb,Disb5,192.168.0.9,22,ossuser,Changeme_123,hk
ProjectName1,RegionName1,Disb,Disb6,192.168.0.10,22,ossuser,Changeme_123,hk
ProjectName1,RegionName1,Disb,Disb7,192.168.0.11,22,ossuser,Changeme_123,hk
ProjectName1,RegionName1,Disb,Disb8,192.168.0.12,22,ossuser,Changeme_123,hk
ProjectName1,RegionName1,Disb,Disb9,192.168.0.13,22,ossuser,Changeme_123,hk
ProjectName1,RegionName1,Disb,Disb10,192.168.0.14,22,ossuser,Changeme_123,hk
ProjectName1,RegionName1,Disb,Disb11,192.168.0.15,22,ossuser,Changeme_123,hk
ProjectName1,RegionName1,Disb,Disb12,192.168.0.16,22,ossuser,Changeme_123,hk
